SMILES,TITLE,receptor,Chemgauss4
CCCN1[C@@H](c2c(n[nH]c2C1=O)c3ccc(cc3)C)c4ccc(cc4)OCc5ccccc5Cl,DUD=39442,Not Available,-11.741450
c1c(c[nH]c1C(=O)NCC2(CN(C2)C(=O)C(=O)N)O)Br,T2K-448494,Not Available,-11.729667
CCCc1nc([nH]n1)[C@@H]2CN(CCO2)C(=O)c3cccc4c3cn[nH]4,SIM-484412-ZIN,Not Available,-11.728008
CCCc1nc([nH]n1)[C@@H]2CN(CCO2)C(=O)c3cccc4c3cn[nH]4,EDB=69041,Not Available,-11.728008
c1c[nH]c2c1c(ncn2)[N@@]3CCC[C@H](C3)C[NH3+],SIM-167710-SUR,Not Available,-11.725492
c1cc(cc(c1)OCC(F)(F)F)CNc2c3cc[nH]c3ncn2,SIM-157921-ZIN,Not Available,-11.724915
CN(C)C(=O)COc1cccc(c1)CNc2c3c([nH]cn3)ncn2,SIM-157847-MOS,Not Available,-11.720791
Cc1c(sc2c1c(ncn2)Sc3ccccc3C(=O)Nc4ccc(cc4)Br)C,EDB=62889,Not Available,-11.720697
c1cc(cc(c1)N2CCCCC2=O)CNc3c4cc[nH]c4ncn3,SIM-58646-ENA,Not Available,-11.715230
CN([C@@H]1CCN(C1)c2c3cc[nH]c3ncn2)C(=O)Nc4ccc(cc4)Cl,SIM-263644-BDB,Not Available,-11.710060
c1[nH]c2c(n1)c(ncn2)N3CCC[C@H](C3)c4[nH]c5c(n4)c(ncn5)O,SIM-272465-SAV,Not Available,-11.709919
c1ccc(cc1)[C@@H](CNC(=O)c2c3c(n[nH]2)CCCC3)NC(=O)c4c5c(n[nH]4)CCCC5,SIM-431339-ENA,Not Available,-11.708542
Cc1cc2c(cc1C)ncnc2[N@@]3CCC[C@H](C3)C(=O)Nc4ccc(cn4)Cl,SIM-263909-ENA,Not Available,-11.691204
Cc1ccc(c(c1)F)NC(=O)c2cccc(c2)Cc3c4c(c(=O)[nH]n3)CCCC4,SIM-196916-BDB,Not Available,-11.687071
Cn1cc(cn1)[C@H]2CCC[N@H+]2C[C@H](COc3ccc(cc3)C#N)O,EDB=94719,Not Available,-11.680943
Cc1ccc(nc1)NC(=O)[C@@H]2CCC[N@](C2)c3c4ccc(cc4ncn3)Cl,SIM-263807-PCH,Not Available,-11.676805
CCC[N@H+](CCN1CCN(CC1)C(=O)c2cc3ccccc3[nH]2)[C@@H]4CCc5c(cccc5O)C4,DUD=47208,Not Available,-11.669703
c1c[nH]c2c1c(ncn2)[N@@]3CCC[C@H](C3)c4cc(=O)[nH]cn4,SIM-272604-PCH,Not Available,-11.667892
Cc1ccc(nc1)NC(=O)[C@@H]2CCC[N@](C2)c3c4cn[nH]c4ncn3,SIM-263790-EMO,Not Available,-11.659075
c1ccc2c(c1)nc3c4cc(ccc4[nH]c3n2)Cc5c(cccc5Cl)Cl,T2K-498208,Not Available,-11.658160
c1c2c([nH]n1)nc(nc2[N@@]3CCC[C@H](C3)Cn4cc(nn4)C5CC5)N,SIM-167491-MOS,Not Available,-11.657968
c1cc(ccc1CNc2c3cn[nH]c3ncn2)COc4ccc(cc4)F,SIM-52787-ENA,Not Available,-11.655925
c1ccc(cc1)CN(Cc2[nH]c(=O)c3c(n2)ccs3)C(=O)COCC(=O)NCc4cccnc4,SIM-12586-E15,Not Available,-11.650608
C[N@@H+]1CC[C@@H]([C@H]1c2cccc(c2)Cl)CNC(=O)CNC(=O)c3cc4ccccc4[nH]3,SIM-464925-ENA,Not Available,-11.648907
CC(C)N(Cc1[nH]c(=O)c2ccccc2n1)C(=O)CCC(=O)N3CCc4c(ccs4)C3,SIM-27614-ENA,Not Available,-11.645238
c1cc2c(cc1OC(F)F)[C@H]([NH2+]CC2)c3cc4c([nH]nc4Cl)nc3,T2K-374605,Not Available,-11.644345
Cc1cc(no1)NC(=O)C[N@H+]2CCO[C@@H](C2)c3[nH]nc(n3)C,EDB=181194,Not Available,-11.638034
c1ccc(cc1)CCCC(=O)Nc2cccc(c2)c3nnc4n3CCCCC4,SIM-116055-PCH,Not Available,-11.633545
c1cc(ccc1CCO[C@H]2CC[C@@H](C2)Nc3c4cn[nH]c4ncn3)F,SIM-53120-SUR,Not Available,-11.633089
CCO[P@@](=O)([O-])SCCOCn1cnc2c1[nH]c(nc2=O)N,CAS=40427,Not Available,-11.632591
Cc1c(ccc2c1nc([nH]2)[C@@H]3CCC[N@@](C3)c4c5c([nH]cn5)ncn4)F,SIM-272471-SAV,Not Available,-11.631858
c1cc(ccc1CCCCCNc2c3cn[nH]c3ncn2)F,SIM-53191-ENA,Not Available,-11.627463
Cc1ccc(nc1)NC(=O)[C@H]2CCC[N@](C2)c3c4cc[nH]c4ncn3,SIM-263678-ZIN,Not Available,-11.625770
c1c[nH]c2c1c(ncn2)C(=O)C34C[C@H]5C[C@@H](C3)CC(C5)(C4)O,SIM-351105-SUR,Not Available,-11.623208
Cc1c2cc(cnc2[nH]n1)C(=O)NCCc3c[nH]c4c3cccc4,T2K-209692,Not Available,-11.621048
Cc1c2cc(cnc2[nH]n1)NC(=O)CCCn3cccc3,EDB=20271,Not Available,-11.620810
c1cc(ccc1NC(=O)N[C@@H]2CCN(C2)c3c4cn[nH]c4ncn3)F,SIM-481818-MOS,Not Available,-11.616901
c1cc(ncc1Cl)NC(=O)[C@@H]2CCC[N@](C2)c3c4cc(c(cc4ncn3)F)F,SIM-263689-ZIN,Not Available,-11.614459
c1cc(ncc1Cl)NC(=O)[C@@H]2CCC[N@](C2)c3c4cc(c(cc4ncn3)F)F,SIM-263908-ENA,Not Available,-11.614459
CN(CC(=O)N[C@H]1C[C@@H]1c2ccc(cc2)F)c3c4c([nH]cn4)ncn3,SIM-256128-ZIN,Not Available,-11.612803
c1c[nH]c2c1c(ncn2)C(=O)N[C@H]3C[C@H](C34CCC4)NC(=O)C5(CC5)F,SIM-351190-ENA,Not Available,-11.610872
CC(C)(C)OC(=O)c1ccc(cc1)CNc2c3cn[nH]c3ncn2,SIM-52688-PCH,Not Available,-11.605878
c1cc(c(cc1F)F)CC[N@@]2CC[C@@H](C(C2)(F)F)Nc3c4cn[nH]c4ncn3,SIM-166699-BDB,Not Available,-11.598729
c1cc(cnc1)C[N@@H+]2CCC[C@H](C2)C(=O)Nc3ccc(cc3)c4[nH]nc(n4)C5CC5,SIM-372814-ZIN,Not Available,-11.596350
c1cc2c(cc1Cl)c(c[nH]2)CCNc3c4cn[nH]c4ncn3,SIM-50875-ZIN,Not Available,-11.594591
C[C@H](c1nc(no1)C2CC2)[NH+]3CCN(CC3)c4c5cc[nH]c5ncn4,EDB=94736,Not Available,-11.593472
Cc1c([nH]c2c1c(ncn2)NCc3cccc(c3)OCC(F)(F)F)C,SIM-158235-E15,Not Available,-11.587498
c1ccc2c(c1)C(=O)N(C2=O)Cc3cccc(c3)Nc4c5cn[nH]c5ncn4,SIM-164855-ENA,Not Available,-11.585007
c1c[nH]c2c1c(ncn2)C(=O)C3CCCCCC3,SIM-351087-PCH,Not Available,-11.579980
c1cc(cc(c1)C(=O)NCC[NH+]2CCCCC2)Cc3c4c(c(=O)[nH]n3)CCCC4,SIM-136894-BDB,Not Available,-11.573268
CC[N@@H+](Cc1[nH]c(=O)c2ccccc2n1)CC(=O)NCCOc3ccccc3,EDB=150997,Not Available,-11.572272
Cc1ccc2c(c1)c(ncn2)[N@@]3CCC[C@H](C3)C(=O)Nc4ccc(cn4)Cl,SIM-263804-PCH,Not Available,-11.568611
c1c[nH]c2c1c(ncn2)[N@@]3CCC[C@H](C3)NC(=O)CC4(CCCC4)O,SIM-201795-ENA,Not Available,-11.568580
c1ccc2c(c1)c3c(cn2)nc([nH]3)c4ccc5c(c4)C[N@H+](CC5)Cc6cccnc6,T2K-354043,Not Available,-11.559584
c1cc(cc(c1)F)Cc2[nH]c(=O)c3ccc(cc3n2)C(=O)[O-],SIM-101405-SUR,Not Available,-11.559437
CN(c1c2cn[nH]c2ncn1)[C@H](CCO)c3ccccc3,SIM-60025-MOS,Not Available,-11.556442
c1c(cnc2c1c(=O)[nH]c(=O)[nH]2)C(=O)NC[C@H]3CCC[NH2+]3,T2K-54383,Not Available,-11.554953
